�rednie kursy EUR Narodowego Banku Polskiego,,,
,,,
Data,Kurs,Zmiana,Nazwa Tabeli
2014-11-14,4.2290,0.21,221/A/NBP/2014
2014-11-17,4.2255,-0.08,222/A/NBP/2014
2014-11-18,4.2180,-0.18,223/A/NBP/2014
2014-11-19,4.2170,-0.02,224/A/NBP/2014
2014-11-20,4.2155,-0.04,225/A/NBP/2014
2014-11-21,4.2088,-0.16,226/A/NBP/2014
2014-11-24,4.1977,-0.26,227/A/NBP/2014
2014-11-25,4.1916,-0.15,228/A/NBP/2014
2014-11-26,4.1800,-0.28,229/A/NBP/2014
2014-11-27,4.1807,0.02,230/A/NBP/2014
2014-11-28,4.1814,0.02,231/A/NBP/2014
2014-12-01,4.1788,-0.06,232/A/NBP/2014
2014-12-02,4.1620,-0.40,233/A/NBP/2014
2014-12-03,4.1574,-0.11,234/A/NBP/2014
2014-12-04,4.1538,-0.09,235/A/NBP/2014
2014-12-05,4.1585,0.11,236/A/NBP/2014
2014-12-08,4.1655,0.17,237/A/NBP/2014
2014-12-09,4.1594,-0.15,238/A/NBP/2014
2014-12-10,4.1595,0.00,239/A/NBP/2014
2014-12-11,4.1749,0.37,240/A/NBP/2014
2014-12-12,4.1805,0.13,241/A/NBP/2014
2014-12-15,4.1761,-0.11,242/A/NBP/2014
2014-12-16,4.1935,0.42,243/A/NBP/2014
2014-12-17,4.2286,0.84,244/A/NBP/2014
2014-12-18,4.2365,0.19,245/A/NBP/2014
2014-12-19,4.2705,0.80,246/A/NBP/2014
2014-12-22,4.2625,-0.19,247/A/NBP/2014
2014-12-23,4.2743,0.28,248/A/NBP/2014
2014-12-24,4.3060,0.74,249/A/NBP/2014
2014-12-29,4.3053,-0.02,250/A/NBP/2014
2014-12-30,4.3138,0.20,251/A/NBP/2014
2014-12-31,4.2623,-1.19,252/A/NBP/2014
2015-01-02,4.3078,1.07,001/A/NBP/2015
2015-01-05,4.3008,-0.16,002/A/NBP/2015
2015-01-07,4.3115,0.25,003/A/NBP/2015
2015-01-08,4.2985,-0.30,004/A/NBP/2015
2015-01-09,4.2837,-0.34,005/A/NBP/2015
2015-01-12,4.2782,-0.13,006/A/NBP/2015
2015-01-13,4.2802,0.05,007/A/NBP/2015
2015-01-14,4.2885,0.19,008/A/NBP/2015
2015-01-15,4.2897,0.03,009/A/NBP/2015
2015-01-16,4.3220,0.75,010/A/NBP/2015
2015-01-19,4.3165,-0.13,011/A/NBP/2015
2015-01-20,4.3335,0.39,012/A/NBP/2015
2015-01-21,4.3218,-0.27,013/A/NBP/2015
2015-01-22,4.2997,-0.51,014/A/NBP/2015
2015-01-23,4.2354,-1.50,015/A/NBP/2015
2015-01-26,4.2293,-0.14,016/A/NBP/2015
2015-01-27,4.2285,-0.02,017/A/NBP/2015
2015-01-28,4.2348,0.15,018/A/NBP/2015
2015-01-29,4.2344,-0.01,019/A/NBP/2015
2015-01-30,4.2081,-0.62,020/A/NBP/2015
2015-02-02,4.1762,-0.76,021/A/NBP/2015
2015-02-03,4.1812,0.12,022/A/NBP/2015
2015-02-04,4.1712,-0.24,023/A/NBP/2015
2015-02-05,4.1739,0.06,024/A/NBP/2015
2015-02-06,4.1695,-0.11,025/A/NBP/2015
2015-02-09,4.1760,0.16,026/A/NBP/2015
2015-02-10,4.2017,0.62,027/A/NBP/2015
2015-02-11,4.1999,-0.04,028/A/NBP/2015
2015-02-12,4.1884,-0.27,029/A/NBP/2015
2015-02-13,4.1783,-0.24,030/A/NBP/2015
2015-02-16,4.1812,0.07,031/A/NBP/2015
2015-02-17,4.1904,0.22,032/A/NBP/2015
2015-02-18,4.1905,0.00,033/A/NBP/2015
2015-02-19,4.1770,-0.32,034/A/NBP/2015
2015-02-20,4.1800,0.07,035/A/NBP/2015
2015-02-23,4.1777,-0.06,036/A/NBP/2015
2015-02-24,4.1763,-0.03,037/A/NBP/2015
2015-02-25,4.1668,-0.23,038/A/NBP/2015
2015-02-26,4.1542,-0.30,039/A/NBP/2015
2015-02-27,4.1495,-0.11,040/A/NBP/2015
2015-03-02,4.1559,0.15,041/A/NBP/2015
2015-03-03,4.1557,0.00,042/A/NBP/2015
2015-03-04,4.1723,0.40,043/A/NBP/2015
2015-03-05,4.1415,-0.74,044/A/NBP/2015
2015-03-06,4.1292,-0.30,045/A/NBP/2015
2015-03-09,4.1259,-0.08,046/A/NBP/2015
2015-03-10,4.1233,-0.06,047/A/NBP/2015
2015-03-11,4.1435,0.49,048/A/NBP/2015
2015-03-12,4.1251,-0.44,049/A/NBP/2015
2015-03-13,4.1529,0.67,050/A/NBP/2015
2015-03-16,4.1373,-0.38,051/A/NBP/2015
2015-03-17,4.1397,0.06,052/A/NBP/2015
2015-03-18,4.1450,0.13,053/A/NBP/2015
2015-03-19,4.1230,-0.53,054/A/NBP/2015
2015-03-20,4.1255,0.06,055/A/NBP/2015
2015-03-23,4.1287,0.08,056/A/NBP/2015
2015-03-24,4.1090,-0.48,057/A/NBP/2015
2015-03-25,4.0927,-0.40,058/A/NBP/2015
2015-03-26,4.0886,-0.10,059/A/NBP/2015
2015-03-27,4.0993,0.26,060/A/NBP/2015
2015-03-30,4.0940,-0.13,061/A/NBP/2015
2015-03-31,4.0890,-0.12,062/A/NBP/2015
2015-04-01,4.0665,-0.55,063/A/NBP/2015
2015-04-02,4.0640,-0.06,064/A/NBP/2015
2015-04-03,4.0748,0.27,065/A/NBP/2015
2015-04-07,4.0615,-0.33,066/A/NBP/2015
2015-04-08,4.0340,-0.68,067/A/NBP/2015
2015-04-09,4.0198,-0.35,068/A/NBP/2015
2015-04-10,4.0198,0.00,069/A/NBP/2015
2015-04-13,4.0198,0.00,070/A/NBP/2015
2015-04-14,4.0088,-0.27,071/A/NBP/2015
2015-04-15,4.0083,-0.01,072/A/NBP/2015
2015-04-16,4.0140,0.14,073/A/NBP/2015
2015-04-17,4.0330,0.47,074/A/NBP/2015
2015-04-20,4.0112,-0.54,075/A/NBP/2015
2015-04-21,3.9822,-0.72,076/A/NBP/2015
2015-04-22,4.0015,0.48,077/A/NBP/2015
2015-04-23,4.0075,0.15,078/A/NBP/2015
2015-04-24,4.0161,0.21,079/A/NBP/2015
2015-04-27,4.0214,0.13,080/A/NBP/2015
2015-04-28,4.0075,-0.35,081/A/NBP/2015
2015-04-29,4.0060,-0.04,082/A/NBP/2015
2015-04-30,4.0337,0.69,083/A/NBP/2015
2015-05-04,4.0465,0.32,084/A/NBP/2015
2015-05-05,4.0179,-0.71,085/A/NBP/2015
2015-05-06,4.0552,0.93,086/A/NBP/2015
2015-05-07,4.0685,0.33,087/A/NBP/2015
2015-05-08,4.0552,-0.33,088/A/NBP/2015
2015-05-11,4.0767,0.53,089/A/NBP/2015
2015-05-12,4.1030,0.65,090/A/NBP/2015
2015-05-13,4.0765,-0.65,091/A/NBP/2015
2015-05-14,4.0945,0.44,092/A/NBP/2015
2015-05-15,4.0587,-0.87,093/A/NBP/2015
2015-05-18,4.0468,-0.29,094/A/NBP/2015
2015-05-19,4.0465,-0.01,095/A/NBP/2015
2015-05-20,4.0606,0.35,096/A/NBP/2015
2015-05-21,4.0836,0.57,097/A/NBP/2015
2015-05-22,4.0980,0.35,098/A/NBP/2015
2015-05-25,4.1149,0.41,099/A/NBP/2015
2015-05-26,4.1279,0.32,100/A/NBP/2015
2015-05-27,4.1405,0.31,101/A/NBP/2015
2015-05-28,4.1419,0.03,102/A/NBP/2015
2015-05-29,4.1301,-0.28,103/A/NBP/2015
2015-06-01,4.1260,-0.10,104/A/NBP/2015
2015-06-02,4.1374,0.28,105/A/NBP/2015
2015-06-03,4.1307,-0.16,106/A/NBP/2015
2015-06-05,4.1600,0.71,107/A/NBP/2015
2015-06-08,4.1559,-0.10,108/A/NBP/2015
2015-06-09,4.1705,0.35,109/A/NBP/2015
2015-06-10,4.1602,-0.25,110/A/NBP/2015
2015-06-11,4.1481,-0.29,111/A/NBP/2015
2015-06-12,4.1423,-0.14,112/A/NBP/2015
2015-06-15,4.1486,0.15,113/A/NBP/2015
2015-06-16,4.1595,0.26,114/A/NBP/2015
2015-06-17,4.1535,-0.14,115/A/NBP/2015
2015-06-18,4.1615,0.19,116/A/NBP/2015
2015-06-19,4.1715,0.24,117/A/NBP/2015
2015-06-22,4.1724,0.02,118/A/NBP/2015
2015-06-23,4.1637,-0.21,119/A/NBP/2015
2015-06-24,4.1640,0.01,120/A/NBP/2015
2015-06-25,4.1737,0.23,121/A/NBP/2015
2015-06-26,4.1764,0.06,122/A/NBP/2015
2015-06-29,4.1893,0.31,123/A/NBP/2015
2015-06-30,4.1944,0.12,124/A/NBP/2015
2015-07-01,4.1923,-0.05,125/A/NBP/2015
2015-07-02,4.1935,0.03,126/A/NBP/2015
2015-07-03,4.1896,-0.09,127/A/NBP/2015
2015-07-06,4.1990,0.22,128/A/NBP/2015
2015-07-07,4.2026,0.09,129/A/NBP/2015
2015-07-08,4.2213,0.45,130/A/NBP/2015
2015-07-09,4.2277,0.15,131/A/NBP/2015
2015-07-10,4.1905,-0.88,132/A/NBP/2015
2015-07-13,4.1550,-0.85,133/A/NBP/2015
2015-07-14,4.1545,-0.01,134/A/NBP/2015
2015-07-15,4.1319,-0.54,135/A/NBP/2015
2015-07-16,4.1111,-0.50,136/A/NBP/2015
2015-07-17,4.1021,-0.22,137/A/NBP/2015
2015-07-20,4.1083,0.15,138/A/NBP/2015
2015-07-21,4.1112,0.07,139/A/NBP/2015
2015-07-22,4.1174,0.15,140/A/NBP/2015
2015-07-23,4.1285,0.27,141/A/NBP/2015
2015-07-24,4.1195,-0.22,142/A/NBP/2015
2015-07-27,4.1495,0.73,143/A/NBP/2015
2015-07-28,4.1280,-0.52,144/A/NBP/2015
2015-07-29,4.1452,0.42,145/A/NBP/2015
2015-07-30,4.1429,-0.06,146/A/NBP/2015
2015-07-31,4.1488,0.14,147/A/NBP/2015
2015-08-03,4.1360,-0.31,148/A/NBP/2015
2015-08-04,4.1463,0.25,149/A/NBP/2015
2015-08-05,4.1655,0.46,150/A/NBP/2015
2015-08-06,4.1798,0.34,151/A/NBP/2015
2015-08-07,4.1868,0.17,152/A/NBP/2015
2015-08-10,4.1933,0.16,153/A/NBP/2015
2015-08-11,4.2035,0.24,154/A/NBP/2015
2015-08-12,4.2093,0.14,155/A/NBP/2015
2015-08-13,4.1822,-0.64,156/A/NBP/2015
2015-08-14,4.1849,0.06,157/A/NBP/2015
2015-08-17,4.1775,-0.18,158/A/NBP/2015
2015-08-18,4.1616,-0.38,159/A/NBP/2015
2015-08-19,4.1690,0.18,160/A/NBP/2015
2015-08-20,4.1946,0.61,161/A/NBP/2015
2015-08-21,4.2014,0.16,162/A/NBP/2015
2015-08-24,4.2390,0.89,163/A/NBP/2015
2015-08-25,4.2309,-0.19,164/A/NBP/2015
2015-08-26,4.2381,0.17,165/A/NBP/2015
2015-08-27,4.2255,-0.30,166/A/NBP/2015
2015-08-28,4.2325,0.17,167/A/NBP/2015
2015-08-31,4.2344,0.04,168/A/NBP/2015
2015-09-01,4.2297,-0.11,169/A/NBP/2015
2015-09-02,4.2440,0.34,170/A/NBP/2015
2015-09-03,4.2314,-0.30,171/A/NBP/2015
2015-09-04,4.2290,-0.06,172/A/NBP/2015
2015-09-07,4.2335,0.11,173/A/NBP/2015
2015-09-08,4.2360,0.06,174/A/NBP/2015
2015-09-09,4.2129,-0.55,175/A/NBP/2015
2015-09-10,4.2153,0.06,176/A/NBP/2015
2015-09-11,4.2080,-0.17,177/A/NBP/2015
2015-09-14,4.2090,0.02,178/A/NBP/2015
2015-09-15,4.2094,0.01,179/A/NBP/2015
2015-09-16,4.1994,-0.24,180/A/NBP/2015
2015-09-17,4.2065,0.17,181/A/NBP/2015
2015-09-18,4.2059,-0.01,182/A/NBP/2015
2015-09-21,4.1896,-0.39,183/A/NBP/2015
2015-09-22,4.1924,0.07,184/A/NBP/2015
2015-09-23,4.2007,0.20,185/A/NBP/2015
2015-09-24,4.2200,0.46,186/A/NBP/2015
2015-09-25,4.2115,-0.20,187/A/NBP/2015
2015-09-28,4.2334,0.52,188/A/NBP/2015
2015-09-29,4.2434,0.24,189/A/NBP/2015
2015-09-30,4.2386,-0.11,190/A/NBP/2015
2015-10-01,4.2437,0.12,191/A/NBP/2015
2015-10-02,4.2451,0.03,192/A/NBP/2015
2015-10-05,4.2475,0.06,193/A/NBP/2015
2015-10-06,4.2453,-0.05,194/A/NBP/2015
2015-10-07,4.2272,-0.43,195/A/NBP/2015
2015-10-08,4.2405,0.31,196/A/NBP/2015
2015-10-09,4.2170,-0.55,197/A/NBP/2015
2015-10-12,4.2273,0.24,198/A/NBP/2015
2015-10-13,4.2336,0.15,199/A/NBP/2015
2015-10-14,4.2365,0.07,200/A/NBP/2015
2015-10-15,4.2295,-0.17,201/A/NBP/2015
2015-10-16,4.2315,0.05,202/A/NBP/2015
2015-10-19,4.2342,0.06,203/A/NBP/2015
2015-10-20,4.2472,0.31,204/A/NBP/2015
2015-10-21,4.2745,0.64,205/A/NBP/2015
2015-10-22,4.2769,0.06,206/A/NBP/2015
2015-10-23,4.2520,-0.58,207/A/NBP/2015
2015-10-26,4.2605,0.20,208/A/NBP/2015
2015-10-27,4.2709,0.24,209/A/NBP/2015
2015-10-28,4.2902,0.45,210/A/NBP/2015
2015-10-29,4.2732,-0.40,211/A/NBP/2015
2015-10-30,4.2652,-0.19,212/A/NBP/2015
2015-11-02,4.2490,-0.38,213/A/NBP/2015
2015-11-03,4.2495,0.01,214/A/NBP/2015
2015-11-04,4.2455,-0.09,215/A/NBP/2015
2015-11-05,4.2306,-0.35,216/A/NBP/2015
2015-11-06,4.2458,0.36,217/A/NBP/2015
2015-11-09,4.2651,0.45,218/A/NBP/2015
2015-11-10,4.2485,-0.39,219/A/NBP/2015
2015-11-12,4.2245,-0.56,220/A/NBP/2015
2015-11-13,4.2362,0.28,221/A/NBP/2015
2015-11-16,4.2472,0.26,222/A/NBP/2015
2015-11-17,4.2433,-0.09,223/A/NBP/2015
2015-11-18,4.2509,0.18,224/A/NBP/2015
2015-11-19,4.2477,-0.08,225/A/NBP/2015
2015-11-20,4.2441,-0.08,226/A/NBP/2015
2015-11-23,4.2395,-0.11,227/A/NBP/2015
2015-11-24,4.2609,0.50,228/A/NBP/2015
2015-11-25,4.2680,0.17,229/A/NBP/2015
2015-11-26,4.2763,0.19,230/A/NBP/2015
2015-11-27,4.2692,-0.17,231/A/NBP/2015
2015-11-30,4.2639,-0.12,232/A/NBP/2015
2015-12-01,4.2651,0.03,233/A/NBP/2015
2015-12-02,4.2815,0.38,234/A/NBP/2015
2015-12-03,4.2665,-0.35,235/A/NBP/2015
2015-12-04,4.3141,1.12,236/A/NBP/2015
2015-12-07,4.3111,-0.07,237/A/NBP/2015
2015-12-08,4.3282,0.40,238/A/NBP/2015
2015-12-09,4.3402,0.28,239/A/NBP/2015
2015-12-10,4.3440,0.09,240/A/NBP/2015
2015-12-11,4.3471,0.07,241/A/NBP/2015
2015-12-14,4.3500,0.07,242/A/NBP/2015
2015-12-15,4.3580,0.18,243/A/NBP/2015
2015-12-16,4.3304,-0.63,244/A/NBP/2015
2015-12-17,4.3048,-0.59,245/A/NBP/2015
2015-12-18,4.2816,-0.54,246/A/NBP/2015
2015-12-21,4.2545,-0.63,247/A/NBP/2015
2015-12-22,4.2411,-0.32,248/A/NBP/2015
2015-12-23,4.2460,0.12,249/A/NBP/2015
2015-12-24,4.2411,-0.12,250/A/NBP/2015
2015-12-28,4.2448,0.09,251/A/NBP/2015
2015-12-29,4.2440,-0.02,252/A/NBP/2015
2015-12-30,4.2423,-0.04,253/A/NBP/2015
2015-12-31,4.2615,0.45,254/A/NBP/2015
2016-01-04,4.2935,0.75,001/A/NBP/2016
2016-01-05,4.3176,0.56,002/A/NBP/2016
2016-01-07,4.3475,0.69,003/A/NBP/2016
2016-01-08,4.3457,-0.04,004/A/NBP/2016
2016-01-11,4.3635,0.41,005/A/NBP/2016
2016-01-12,4.3621,-0.03,006/A/NBP/2016
2016-01-13,4.3345,-0.63,007/A/NBP/2016
2016-01-14,4.3605,0.60,008/A/NBP/2016
2016-01-15,4.4075,1.08,009/A/NBP/2016
2016-01-18,4.4835,1.72,010/A/NBP/2016
2016-01-19,4.4490,-0.77,011/A/NBP/2016
2016-01-20,4.4659,0.38,012/A/NBP/2016
2016-01-21,4.4987,0.73,013/A/NBP/2016
2016-01-22,4.4460,-1.17,014/A/NBP/2016
2016-01-25,4.4720,0.58,015/A/NBP/2016
2016-01-26,4.4961,0.54,016/A/NBP/2016
2016-01-27,4.4730,-0.51,017/A/NBP/2016
2016-01-28,4.4588,-0.32,018/A/NBP/2016
2016-01-29,4.4405,-0.41,019/A/NBP/2016
2016-02-01,4.4104,-0.68,020/A/NBP/2016
2016-02-02,4.4015,-0.20,021/A/NBP/2016
2016-02-03,4.4024,0.02,022/A/NBP/2016
2016-02-04,4.4078,0.12,023/A/NBP/2016
2016-02-05,4.4135,0.13,024/A/NBP/2016
2016-02-08,4.4185,0.11,025/A/NBP/2016
2016-02-09,4.4490,0.69,026/A/NBP/2016
2016-02-10,4.4366,-0.28,027/A/NBP/2016
2016-02-11,4.4407,0.09,028/A/NBP/2016
2016-02-12,4.4136,-0.61,029/A/NBP/2016
2016-02-15,4.3960,-0.40,030/A/NBP/2016
2016-02-16,4.4042,0.19,031/A/NBP/2016
2016-02-17,4.3905,-0.31,032/A/NBP/2016
2016-02-18,4.3902,-0.01,033/A/NBP/2016
2016-02-19,4.3830,-0.16,034/A/NBP/2016
2016-02-22,4.3655,-0.40,035/A/NBP/2016
2016-02-23,4.3655,0.00,036/A/NBP/2016
2016-02-24,4.3720,0.15,037/A/NBP/2016
2016-02-25,4.3739,0.04,038/A/NBP/2016
2016-02-26,4.3570,-0.39,039/A/NBP/2016
2016-02-29,4.3589,0.04,040/A/NBP/2016
2016-03-01,4.3365,-0.51,041/A/NBP/2016
2016-03-02,4.3333,-0.07,042/A/NBP/2016
2016-03-03,4.3250,-0.19,043/A/NBP/2016
2016-03-04,4.3340,0.21,044/A/NBP/2016
2016-03-07,4.3292,-0.11,045/A/NBP/2016
2016-03-08,4.3325,0.08,046/A/NBP/2016
2016-03-09,4.3215,-0.25,047/A/NBP/2016
2016-03-10,4.3131,-0.19,048/A/NBP/2016
2016-03-11,4.3226,0.22,049/A/NBP/2016
2016-03-14,4.2813,-0.96,050/A/NBP/2016
2016-03-15,4.2824,0.03,051/A/NBP/2016
2016-03-16,4.2980,0.36,052/A/NBP/2016
2016-03-17,4.2989,0.02,053/A/NBP/2016
