DATE;CLOSING PRICE;OPEN;DAILY HIGH;DAILY LOW
12/2/2011;54769.25;53986.17;55154.53;53941.90
12/5/2011;55195.81;54928.94;55384.08;54725.02
12/6/2011;54679.11;54780.41;55195.81;54300.14
12/7/2011;55138.85;55128.77;55537.56;54377.55
12/8/2011;53499.25;55189.29;55212.30;53316.73
12/9/2011;53834.91;52655.86;53986.90;52655.86
12/12/2011;52444.07;53736.23;53885.46;52328.16
12/13/2011;52551.52;52457.95;52989.15;52117.13
12/14/2011;51338.97;52323.74;52551.52;51158.49
12/15/2011;51886.47;51530.00;52250.00;51088.40
12/16/2011;51665.78;52250.03;52337.30;51551.49
12/19/2011;50742.08;51450.31;51824.50;50684.01
12/20/2011;52126.94;50958.05;52155.82;50639.56
12/21/2011;51747.43;52458.60;52846.11;51507.11
12/22/2011;51591.56;52013.51;52332.67;51301.20
12/23/2011;51948.62;52032.55;52265.30;51591.56
12/26/2011;52517.25;52235.82;52554.85;51948.62
12/27/2011;52561.20;52453.86;52618.38;52202.75
12/28/2011;51553.20;52403.32;52561.20;51452.00
12/29/2011;52053.62;51563.51;52053.62;51116.72
12/30/2011;51266.62;52111.76;52334.19;51013.40
1/2/2012;51340.96;51314.57;51711.94;51029.40
1/3/2012;52859.07;51645.21;52859.07;51340.96
1/4/2012;51532.56;52748.24;52956.73;51258.69
1/5/2012;51204.58;51640.23;51661.60;50753.95
1/6/2012;50182.53;51183.12;51474.51;50007.03
1/9/2012;49836.98;50497.76;50562.29;49263.30
1/10/2012;50781.84;50325.15;51092.38;49836.98
1/11/2012;51410.44;50767.33;51524.43;50499.74
1/12/2012;52154.27;51631.51;52489.88;51410.44
1/13/2012;51561.68;52529.22;52792.60;51148.20
1/16/2012;52797.16;51712.14;52802.56;51484.36
1/17/2012;53529.30;53364.63;53848.63;52797.16
1/18/2012;54384.76;53466.61;54398.76;53151.10
1/19/2012;54607.89;54455.65;54896.66;54009.47
1/20/2012;54888.55;54868.70;55056.62;54352.60
1/23/2012;55186.21;54773.24;55450.77;54478.96
1/24/2012;54790.84;55052.79;55293.55;54223.73
1/25/2012;54918.68;55042.68;55418.82;54745.81
1/26/2012;56958.83;55513.93;57266.29;55513.93
1/27/2012;57356.72;56743.27;57581.86;56656.55
1/30/2012;57811.79;57053.88;57848.91;56916.59
1/31/2012;57171.34;58236.20;58471.90;56904.88
2/1/2012;59215.65;57079.66;59334.51;57079.66
2/2/2012;60051.94;59227.07;60089.37;58553.24
2/3/2012;60147.96;59872.21;60442.83;59628.99
2/6/2012;60674.87;59917.51;60674.87;59528.00
2/7/2012;60545.87;60873.28;61080.37;60380.51
2/8/2012;61178.25;61046.16;61308.45;60871.50
2/9/2012;60162.52;61261.42;61587.57;60012.83
2/10/2012;59332.11;59807.17;60141.69;58988.29
2/13/2012;60557.48;59806.56;60730.36;59806.56
2/14/2012;59662.13;60534.23;60856.06;59500.78
2/15/2012;59847.64;60298.91;60512.48;59532.82
2/16/2012;60030.14;59407.65;60034.61;59147.20
2/17/2012;61111.30;60442.13;61111.30;60257.27
2/20/2012;61449.07;61599.03;61778.66;61323.39
2/21/2012;61252.83;61453.87;61629.81;60759.19
2/22/2012;60856.43;61404.37;61623.38;60768.27
2/23/2012;59666.62;60895.50;60927.21;59640.42
2/24/2012;59737.53;59946.25;60164.62;59142.79
2/27/2012;58821.82;59571.97;59638.07;58378.71
2/28/2012;59978.49;59235.55;60166.23;59126.58
2/29/2012;60721.23;60122.79;60943.85;59785.91
3/1/2012;60725.88;60398.69;61022.05;60143.29
3/2/2012;60902.41;60611.22;60992.76;60454.03
3/5/2012;59685.48;60608.84;60608.84;59617.60
3/6/2012;59143.43;59716.51;59751.95;58862.68
3/7/2012;59479.73;59286.64;59718.75;58937.70
3/8/2012;59673.75;59904.47;60512.18;59591.29
3/9/2012;59280.43;59927.75;59945.28;59101.16
3/12/2012;59009.47;59146.31;59418.42;58778.01
3/13/2012;59389.02;59544.77;59954.31;59388.46
3/14/2012;60835.74;59879.08;61033.21;59879.08
3/15/2012;61279.31;60960.94;61412.42;60790.77
3/16/2012;62336.32;61296.94;62376.89;61296.94
3/19/2012;62537.33;62424.34;63015.60;62151.71
3/20/2012;62164.06;62447.64;62499.18;61595.58
3/21/2012;62064.97;62358.01;62617.55;62028.75
3/22/2012;61786.74;62345.19;62449.00;61716.36
3/23/2012;61417.44;61949.28;62165.32;61248.92
3/26/2012;62561.47;61139.69;62561.66;61093.44
3/27/2012;62490.95;62864.54;63035.28;62357.09
3/28/2012;61815.10;62159.87;62434.98;61642.02
3/29/2012;61544.94;61757.28;61880.61;61401.52
3/30/2012;62423.04;61925.21;62509.91;61925.21
4/2/2012;62969.32;62598.34;62975.42;62392.06
4/3/2012;63284.54;63244.46;63616.88;63030.04
4/4/2012;62463.96;62941.84;62941.84;62317.80
4/5/2012;62062.69;62566.41;62653.91;61652.28
4/6/2012;60939.55;61818.23;61837.59;60832.01
4/9/2012;60813.25;60866.90;61104.36;60474.43
4/10/2012;59987.73;61004.94;61112.27;59987.73
4/11/2012;60709.82;59823.55;60709.82;59388.42
4/12/2012;60890.09;60889.92;61007.32;60178.54
4/13/2012;60582.60;60968.51;61246.78;60519.91
4/16/2012;60478.50;60205.66;60988.78;59983.08
4/17/2012;60652.56;60395.09;61166.13;60221.20
4/18/2012;60131.94;61104.74;61245.32;59985.84
4/19/2012;59848.46;60283.41;60553.01;59695.60
4/20/2012;60122.90;59941.94;60314.97;59849.01
4/24/2012;59706.03;59571.57;60005.50;59376.37
4/25/2012;59940.54;60114.13;60318.43;59241.23
4/26/2012;60677.81;60044.00;60692.46;59875.60
4/27/2012;60596.68;60557.53;61076.07;60248.82
4/30/2012;60010.42;60794.65;60861.81;59698.35
5/2/2012;58943.71;59971.69;60314.99;58851.15
5/3/2012;59285.68;59138.92;59557.03;59138.92
5/4/2012;59015.69;59446.18;59574.47;58820.10
5/7/2012;58809.68;58248.77;58841.23;58047.71
5/8/2012;58749.33;58942.00;59325.48;58630.45
5/9/2012;58092.99;58917.79;58973.39;58082.01
5/10/2012;58820.76;58432.73;58953.46;58334.58
5/11/2012;58872.62;58446.64;58886.88;58376.78
5/14/2012;57853.86;58677.99;58906.66;57779.00
5/15/2012;57453.05;58012.30;58174.46;57090.91
5/16/2012;58100.85;56968.61;58164.96;56716.99
5/17/2012;57331.17;57934.26;58316.23;57174.84
5/18/2012;56935.76;56697.35;57286.37;56404.94
5/21/2012;56539.64;57240.13;57484.56;56539.64
5/22/2012;57079.47;57033.50;57134.77;56519.75
5/23/2012;55734.34;56442.24;56662.82;55598.93
5/24/2012;54916.61;55959.78;56088.79;54867.44
5/25/2012;54809.94;54127.57;55206.39;53997.64
5/28/2012;54843.93;55091.48;55175.78;54594.58
5/29/2012;55449.51;54946.79;55652.01;54807.12
5/30/2012;55125.29;55169.99;55418.28;54724.27
5/31/2012;55099.33;55196.60;55790.43;54946.87
6/1/2012;55568.37;55125.19;55574.47;54366.31
6/4/2012;55744.29;55191.67;55970.25;55132.45
6/5/2012;55799.77;55950.18;56166.65;55606.17
6/6/2012;56248.45;56054.66;56248.45;55762.06
6/7/2012;56695.71;56570.00;57069.60;56471.75
6/8/2012;57300.02;56449.05;57365.55;56147.40
6/11/2012;57504.82;58243.09;58274.25;57504.82
6/12/2012;58201.29;57546.50;58201.29;57524.49
6/13/2012;58250.48;58450.69;58546.09;57943.05
6/14/2012;58364.67;58343.26;58512.65;58130.93
6/15/2012;58467.79;58632.97;58663.53;58183.90
6/18/2012;58324.86;58897.55;58979.36;58145.07
6/19/2012;59299.68;58343.54;59299.68;58343.54
6/20/2012;59401.26;59942.59;60068.21;59401.26
6/21/2012;60439.83;59362.59;60815.43;59287.95
6/22/2012;60451.41;60119.41;60663.63;59991.32
6/25/2012;59479.36;59860.96;60149.70;59479.36
6/26/2012;60126.55;59704.72;60178.74;59512.97
6/27/2012;61184.33;60292.23;61249.91;60279.46
6/28/2012;60822.57;61278.00;61407.81;60434.86
6/29/2012;62543.49;61500.90;62543.49;61359.07
7/2/2012;61951.16;62310.19;62418.24;61742.34
7/3/2012;62721.31;62133.02;62757.00;62133.02
7/4/2012;62986.09;62880.97;63074.17;62500.41
7/5/2012;61972.14;62977.00;63158.45;61972.14
7/6/2012;62780.58;62118.12;62790.25;61945.61
7/9/2012;62608.13;62725.43;63022.40;62420.64
7/10/2012;63123.95;62682.87;63575.71;62554.56
7/11/2012;63048.76;63138.63;63548.97;62884.68
7/12/2012;62324.64;63051.74;63088.42;62107.60
7/13/2012;62662.16;62476.78;62830.79;62298.87
7/16/2012;62675.31;62717.15;63019.76;62428.38
7/17/2012;62472.82;62929.81;62943.96;62361.12
7/18/2012;62444.93;62568.93;62902.15;62107.55
7/19/2012;62340.84;62677.76;62778.97;62307.10
7/20/2012;61792.16;62383.68;62474.31;61404.86
7/23/2012;60736.81;61390.59;61390.59;60466.68
7/24/2012;61303.26;60832.05;61573.86;60640.77
7/25/2012;61707.54;61167.71;61845.72;61154.06
7/26/2012;63840.98;61895.53;63840.98;61895.53
7/27/2012;64372.81;63853.86;64498.27;63647.40
7/30/2012;65032.05;64522.86;65150.56;64151.83
7/31/2012;64259.54;64929.35;65189.82;64007.92
8/1/2012;64081.17;64206.63;64546.08;63924.17
8/2/2012;63777.91;64026.52;64567.08;63265.15
8/3/2012;65303.64;63794.23;65444.94;63513.05
8/6/2012;65576.79;65320.43;66140.92;65320.43
8/7/2012;64938.36;65664.52;65924.15;64840.98
8/8/2012;64698.63;64814.67;65100.19;64592.15
8/9/2012;64501.13;64962.77;65247.97;64022.00
8/10/2012;65126.00;64397.60;65126.00;64161.20
8/13/2012;65148.93;65027.79;65595.81;64984.40
8/14/2012;64160.81;65327.71;65386.54;64083.42
8/15/2012;64611.75;64168.36;64660.76;63739.79
8/16/2012;64916.23;64764.44;65180.87;64764.05
8/17/2012;65758.47;65172.51;65953.69;65172.51
8/22/2012;66108.84;65808.45;66340.72;65517.93
8/23/2012;66079.48;66386.73;66599.17;65905.43
8/24/2012;65654.31;65959.75;66272.74;65654.31
8/27/2012;65941.56;65695.22;66082.59;65695.22
8/28/2012;66139.30;66059.71;66576.35;66023.17
8/29/2012;66152.55;66213.19;66399.52;65858.00
8/31/2012;67367.95;65936.21;67367.95;65803.56
9/3/2012;67208.22;67304.02;67441.20;66862.79
9/4/2012;66898.10;67304.73;67507.09;66863.48
9/5/2012;67559.48;66984.65;67717.27;66709.08
9/6/2012;67714.84;67823.18;67876.44;67069.21
9/7/2012;67937.05;67773.67;68266.42;67447.69
9/10/2012;68121.60;68121.96;68431.10;68047.73
9/11/2012;68105.07;68079.65;68382.73;67897.53
9/12/2012;68184.00;68246.77;68540.68;68019.88
9/13/2012;67290.68;68318.21;68460.42;67256.46
9/14/2012;68180.49;68151.98;68537.63;68008.48
9/17/2012;68092.28;68005.06;68258.67;67784.78
9/18/2012;67600.35;68065.72;68183.23;67379.53
9/19/2012;67114.82;67890.29;67968.39;66909.24
9/20/2012;67001.68;66712.00;67125.85;66473.11
9/21/2012;67891.46;67289.13;68142.93;67199.05
9/24/2012;67207.14;67419.16;67723.62;66827.55
9/25/2012;67809.58;67329.26;67809.58;66975.25
9/26/2012;66675.67;67411.27;68001.13;66653.11
9/27/2012;66770.56;67015.18;67153.55;66739.57
9/28/2012;66396.71;67073.96;67192.72;66093.97
10/1/2012;66754.88;66270.14;66874.84;65967.41
10/2/2012;67498.20;66898.38;67582.32;66898.38
10/3/2012;66822.36;67515.04;67809.44;66803.10
10/4/2012;66909.38;66635.55;66952.95;65639.64
10/5/2012;67383.68;67164.80;67736.59;67116.21
10/8/2012;67435.37;67345.61;67608.02;67103.57
10/9/2012;68062.86;67698.25;68126.43;67328.15
10/10/2012;68457.58;67914.24;68597.71;67869.28
10/11/2012;69577.60;68564.58;69656.61;68502.89
10/12/2012;69603.13;69677.88;69969.05;69407.45
10/15/2012;69769.73;69562.97;70001.17;69277.49
10/16/2012;70281.72;70216.12;70619.84;70112.30
10/17/2012;70686.50;70512.99;70828.63;70406.06
10/18/2012;70355.84;70868.74;70923.16;70265.58
10/19/2012;70774.02;70394.14;70817.09;70147.44
10/22/2012;71219.47;70800.44;71294.92;70756.99
